11001|Cheese Baked Rice|Be Your Own Chef|Food
60101|Chicken Sausg Add|Misc.|Miscellaneous
60102|Bk Beans Add|Misc.|Miscellaneous
60103|Mushrooms Add|Misc.|Miscellaneous
60104|ScrambEgg Add|Misc.|Miscellaneous
60105|MinceBeef Add|Misc.|Miscellaneous
60106|Vegetarian Add|Misc.|Miscellaneous
60107|Ckic Slice Add|Misc.|Miscellaneous
60108|Beef Slice Add|Misc.|Miscellaneous
60109|PanG. Fish Add|Misc.|Miscellaneous
60110|Salmon Add|Misc.|Miscellaneous
60111|Prawns Add|Misc.|Miscellaneous
60112|Seafood Add|Misc.|Miscellaneous
60151|Chicken Sausg FOC|Misc.|Miscellaneous
60152|Bk Beans FOC|Misc.|Miscellaneous
60153|Mushrooms FOC|Misc.|Miscellaneous
60154|ScrambEgg FOC|Misc.|Miscellaneous
60155|MinceBeef FOC|Misc.|Miscellaneous
60156|Vegetarian FOC|Misc.|Miscellaneous
60157|Chic Slice FOC|Misc.|Miscellaneous
60158|Beef Slice FOC|Misc.|Miscellaneous
60159|PanG. Fish FOC|Misc.|Miscellaneous
60160|Salmon FOC|Misc.|Miscellaneous
60161|Prawn FOC|Misc.|Miscellaneous
60162|Seafood FOC|Misc.|Miscellaneous